,FKZ,Zuwendungsempfänger,Ausführende Stelle,Thema,Leistungsplansystematik,Klartext Leistungsplansystematik,Laufzeit von,Laufzeit bis,Fördersumme in EUR,Förderprofil,Verbundprojekt,Förderart,year,accelerator_related
4192,05K10CHE,Deutsches Elektronen-Synchrotron (DESY),Deutsches Elektronen-Synchrotron (DESY) - Standort Zeuthen,Entwicklung und experimenteller Test eines Lasersystems für die Erzeugung von quasi-3D-ellipsenförmigen Laserpulsen,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2010-07-01,2014-12-31,957524,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,2010,True
4193,05H10UME,Johannes Gutenberg-Universität Mainz,"Johannes Gutenberg-Universität Mainz - FB 08 Physik, Mathematik und Informatik - Institut für Kernphysik",Verbundprojekt R&D BESCHLEUNIGER (Spin Management): Spin Management polarisierter Lepton-Strahlen an Beschleunigern,U01013,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten beim CERN und bei DESY,2010-07-01,2012-06-30,154307,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05H2010 - R&D BESCHLEUNIGER (Spin Management),PDIR,2010,True
4201,05H10PDE,Rheinische Friedrich-Wilhelms-Universität Bonn,Rheinische Friedrich-Wilhelms-Universität Bonn - Mathematisch-Naturwissenschaftliche Fakultät - Physik/Astronomie - Physikalisches Institut,Verbundprojekt R&D BESCHLEUNIGER (Spin Management): Spindynamik in Leptonen-Beschleunigern,U01013,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten beim CERN und bei DESY,2010-07-01,2012-06-30,62814,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05H2010 - R&D BESCHLEUNIGER (Spin Management),PDIR,2010,True
4210,05A11PC1,Ruhr-Universität Bochum,Ruhr-Universität Bochum - Fakultät für Physik und Astronomie - Lehrstuhl für Theoretische Physik IV,Verbundprojekt HESS: Hochenergiegammastrahlung von kosmischen Teilchenbeschleunigern,U04067,Ausgewählte Gebiete der Teilchen-Astrophysik,2011-07-01,2014-06-30,293260,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05A2011 - HESS,PDIR,2011,True
4281,05H24OC1,Technische Universität Chemnitz,Technische Universität Chemnitz - Fakultät für Maschinenbau - Institut für Werkzeugmaschinen und Produktionsprozesse - Professur Mikrofertigungstechnik,Verbundprojekt 05H2024 - R&D BESCHLEUNIGER (SuperSurfer): Nachhaltiges Polieren der Funktionsflächen supraleitender Hochfrequenzkavitäten mit einem umweltschonenden Elektrolyt,U01011,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten beim CERN,2024-07-01,2027-06-30,631851,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05H2024 - R&D BESCHLEUNIGER (SuperSurfer),PDIR,2024,True
4282,05H24GU1,Universität Hamburg,"Universität Hamburg - Fakultät für Mathematik, Informatik und Naturwissenschaften - Fachbereich Physik - Institut für Experimentalphysik",Verbundprojekt 05H2024 - R&D BESCHLEUNIGER (SuperSurfer): Nachhaltige supraleitende Hochfrequenztechnologie für effiziente Teilchenbeschleuniger,U01011,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten beim CERN,2024-07-01,2027-06-30,566747,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05H2024 - R&D BESCHLEUNIGER (SuperSurfer),PDIR,2024,True
4283,05H24HRA,Universität Rostock,Universität Rostock - Fakultät für Informatik und Elektrotechnik - Institut für Allgemeine Elektrotechnik,Verbundprojekt 05H2024 - R&D BESCHLEUNIGER (SuperSurfer): Innovative numerische Methoden und Modelle für nachhaltigere supraleitende Beschleuniger,U01011,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten beim CERN,2024-07-01,2027-06-30,370675,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05H2024 - R&D BESCHLEUNIGER (SuperSurfer),PDIR,2024,True
4285,05H24RDB,Technische Universität Darmstadt,Technische Universität Darmstadt - Fachbereich Elektrotechnik und Informationstechnik - Institut für Theorie Elektromagnetischer Felder,Verbundprojekt 05H2024 - R&D BESCHLEUNIGER (SuperSurfer): Kombinierte Simulationen von Schichtstrukturen,U01011,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten beim CERN,2024-07-01,2027-06-30,248029,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05H2024 - R&D BESCHLEUNIGER (SuperSurfer),PDIR,2024,True
4286,05H24PXA,Bergische Universität Wuppertal,Bergische Universität Wuppertal - Fachbereich C - Mathematik und Naturwissenschaften - Fachgruppe Physik,Verbundprojekt 05H2024 - R&D BESCHLEUNIGER (SuperSurfer): Untersuchungen fortschrittlicher Laserbearbeitung zur nachhaltigen Politur von Beschleunigerkavitäten,U01011,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten beim CERN,2024-07-01,2027-06-30,293627,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05H2024 - R&D BESCHLEUNIGER (SuperSurfer),PDIR,2024,True
4288,05H24VH2,Universität Heidelberg,Universität Heidelberg - Fakultät für Physik und Astronomie - Physikalisches Institut,Verbundprojekt 05H2024 - R&D DETEKTOREN (Siliziumdetektoren): Entwicklung der nächsten Generation von hochspannungsbetriebenen monolithischen aktiven Pixelsensoren (HVMAPS) für zukünftige Experimente an Großbeschleunigeranlagen,U01013,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten beim CERN und bei DESY,2024-07-01,2027-06-30,363050,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05H2024 - R&D DETEKTOREN (Siliziumdetektoren),PDIR,2024,True
4294,05H24CBA,Helmholtz-Zentrum Berlin für Materialien und Energie Gesellschaft mit beschränkter Haftung,Helmholtz-Zentrum Berlin für Materialien und Energie Gesellschaft mit beschränkter Haftung,Verbundprojekt 05H2024 - R&D BESCHLEUNIGER (SuperSurfer): Herstellung von Nb3Sn-Schichten auf Kupfer mittels Bronze-Route in drei Schritten,U01011,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten beim CERN,2024-07-01,2027-06-30,319470,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05H2024 - R&D BESCHLEUNIGER (SuperSurfer),PDIR,2024,True
4373,05K22RD1,Technische Universität Darmstadt,Technische Universität Darmstadt - Fachbereich Elektrotechnik und Informationstechnik,Verbundprojekt 05K2022 - HisTeD: Hochgeschwindigkeits-Raumtemperatur-Terahertz-Instrumente für Strahlausrichtung und Diagnostik. Teilprojekt 1.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2022-10-01,2025-09-30,728580,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2022 - HisTeD,PDIR,2022,True
4375,05K22RDC,Technische Universität Darmstadt,Technische Universität Darmstadt - Fachbereich Elektrotechnik und Informationstechnik - Institut für Theorie Elektromagnetischer Felder,Verbundprojekt 05K2022 - DLA-PSD: Pulsformung und (virtuelle) Diagnostik für Dielektrische Laserbeschleunigung. Teilprojekt 1: Software.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2022-10-01,2025-09-30,302181,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2022 - DLA-PSD,PDIR,2022,True
4379,05K22GU4,Universität Hamburg,"Universität Hamburg - Fakultät für Mathematik, Informatik und Naturwissenschaften - Fachbereich Physik - Institut für Experimentalphysik",Verbundprojekt 05K2022 - DLA-PSD: Pulsformung und (virtuelle) Diagnostik für Dielektrische Laserbeschleunigung. Teilprojekt 2: Hardware.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2022-10-01,2025-09-30,343111,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2022 - DLA-PSD,PDIR,2022,True
4383,05K22CKA,Karlsruher Institut für Technologie (Großforschungsaufgabe),Karlsruher Institut für Technologie (Großforschungsaufgabe) - Institut für Technische Physik (ITEP),Verbundprojekt 05K2022 - ACCESS: ACCelerator Energy System Stability. Teilprojekt 1.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2022-10-01,2025-09-30,671262,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2022 - ACCESS,PDIR,2022,True
4388,05K22SJA,Friedrich-Schiller-Universität Jena,Friedrich-Schiller-Universität Jena - Physikalisch-Astronomische Fakultät - Institut für Optik und Quantenelektronik,Verbundprojekt 05K2022 - FIMO: Femtosekunden-Bildgebung und Filme von dünnen Plasmen. Teilprojekt 1.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2022-10-01,2025-09-30,288650,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2022 - FIMO,PDIR,2022,True
4389,05K22SJB,Friedrich-Schiller-Universität Jena,Friedrich-Schiller-Universität Jena - Physikalisch-Astronomische Fakultät - Institut für Optik und Quantenelektronik,Verbundprojekt 05K2022 - MACLIP: Verbesserung der Leistung von Hochintensitätslaser-getriebenen Sekundärquellen durch den Einsatz von maschinellem Lernen. Teilprojekt 1.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2022-10-01,2025-09-30,268490,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2022 - MACLIP,PDIR,2022,True
4391,05K22RDD,Technische Universität Darmstadt,Technische Universität Darmstadt - Fachbereich Elektrotechnik und Informationstechnik - Institut für Theorie Elektromagnetischer Felder,Verbundprojekt 05K2022 - ULCBAMs: Elektro-optische und HF-basierte Ankunftzeitmonitore für extrem kleine Ladungen. Teilprojekt 2.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2022-10-01,2025-09-30,45764,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2022 - ULCBAMs,PDIR,2022,True
4393,05K22PE1,Technische Universität Dortmund,Technische Universität Dortmund - Fakultät Physik - Zentrum für Synchrotronstrahlung,Laser-induzierte Formung von Elektronenpaketen am Freie-Elektronen-Laser FLASH,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2022-10-01,2025-09-30,580412,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,2022,True
4399,05K22WO3,Technische Universität München,Technische Universität München - Forschungs-Neutronenquelle Heinz Maier-Leibnitz (FRM II),Verbundprojekt 05K2022 - H2Mat: Ein Gerät zur Untersuchung des Einflusses der Wasserstoffbe- und -entladung für industriell entwickelte und verwendete Legierungen. Teilprojekt 1.,U03051,Erforschung kondensierter Materie - Neutronenstreuung,2022-10-01,2025-09-30,770449,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2022 - H2Mat,PDIR,2022,True
4401,05K22RD3,Technische Universität Darmstadt,Technische Universität Darmstadt - Fachbereich Elektrotechnik und Informationstechnik - Institut für Stromrichtertechnik und Antriebsregelung - Fachgebiet Leistungselektronik,Verbundprojekt 05K2022 - ACCESS: ACCelerator Energy System Stability. Teilprojekt 2.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2022-10-01,2025-09-30,393105,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2022 - ACCESS,PDIR,2022,True
4406,05K22RD2,Technische Universität Darmstadt,Technische Universität Darmstadt - Fachbereich Elektrotechnik und Informationstechnik - Institut für Theorie Elektromagnetischer Felder,Verbundprojekt 05K2022 - WAKE: Wakefeld und Strahlimpedanz Studien für Undulator-Strukturen an BESSY II und dem EuXFEL. Teilprojekt 2.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2022-10-01,2026-09-30,274581,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2022 - WAKE,PDIR,2022,True
4407,05K22RO1,Technische Hochschule Mittelhessen,Technische Hochschule Mittelhessen - Fachbereich Informationstechnik-Elektrotechnik-Mechatronik (IEM),Verbundprojekt 05K2022 - HisTeD: Hochgeschwindigkeits-Raumtemperatur-Terahertz-Instrumente für Strahlausrichtung und Diagnostik. Teilprojekt 2.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2022-10-01,2025-09-30,488162,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2022 - HisTeD,PDIR,2022,True
4409,05K22RO2,Technische Hochschule Mittelhessen,Technische Hochschule Mittelhessen - Fachbereich Informationstechnik-Elektrotechnik-Mechatronik (IEM),Verbundprojekt 05K2022 - ULCBAMs: Elektro-optische und HF-basierte Ankunftzeitmonitore für extrem kleine Ladungen. Teilprojekt 1: Realisierung und Test neuer BAM-Frontends in dedizierten Beschleunigern und Testeinrichtungen.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2022-10-01,2025-09-30,522568,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2022 - ULCBAMs,PDIR,2022,True
4416,05K22WE1,Friedrich-Alexander-Universität Erlangen-Nürnberg,Friedrich-Alexander-Universität Erlangen-Nürnberg - Technische Fakultät - Department Werkstoffwissenschaften - Lehrstuhl Allgemeine Werkstoffeigenschaften,Verbundprojekt 05K2022 - H2Mat: Ein Gerät zur Untersuchung des Einflusses der Wasserstoffbe- und -entladung für industriell entwickelte und verwendete Legierungen. Teilprojekt 2.,U03051,Erforschung kondensierter Materie - Neutronenstreuung,2022-10-01,2025-09-30,647714,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2022 - H2Mat,PDIR,2022,True
4418,05K22SJ1,Friedrich-Schiller-Universität Jena,Friedrich-Schiller-Universität Jena - Physikalisch-Astronomische Fakultät - Institut für Optik und Quantenelektronik,Verbundprojekt 05K2022 - ELISEatIBC: ELISE@IBC (Extended Laser Isobar SEparator at IBC) - Implementierung der selektiven Filterung von Isobaren mittels Laser zur Erweiterung der Anwendbarkeit von Beschleuniger-Massenspektrometrie. Teilprojekt 1.,U03053,Erforschung kondensierter Materie - Teilchenstrahlen,2023-01-01,2025-09-30,615522,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2022 - ELISEatIBC,PDIR,2023,True
4426,05K22RDA,Technische Universität Darmstadt,Technische Universität Darmstadt - Fachbereich Elektrotechnik und Informationstechnik - Institut für Theorie Elektromagnetischer Felder,"Verbundprojekt 05K2022 - Compact-TDS: Kompaktes, transversal ablenkendes System für die Diagnose von ultrakurzen Elektronenpaketen. Teilprojekt 2: Simulationen.",U03054,Erforschung kondensierter Materie - mit anderen Methoden,2022-10-01,2025-09-30,286701,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2022 - Compact-TDS,PDIR,2022,True
4427,05K22PSB,Universität Siegen,Universität Siegen - Fakultät IV - Department Maschinenbau - Lehrstuhl für Oberflächen- und Werkstofftechnik,Verbundprojekt 05K2022 - NOVALIS: Innovative Beschleunigertechnologien für effiziente Strahlungsquellen. Teilprojekt 5.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2022-10-01,2025-09-30,603423,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2022 - NOVALIS,PDIR,2022,True
4428,05K22GUD,Universität Hamburg,"Universität Hamburg - Fakultät für Mathematik, Informatik und Naturwissenschaften - Fachbereich Physik - Institut für Experimentalphysik",Verbundprojekt 05K2022 - NOVALIS: Innovative Beschleunigertechnologien für effiziente Strahlungsquellen. Teilprojekt 1.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2022-10-01,2025-09-30,766478,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2022 - NOVALIS,PDIR,2022,True
4429,05K22RDB,Technische Universität Darmstadt,Technische Universität Darmstadt - Fachbereich Elektrotechnik und Informationstechnik - Institut für Theorie Elektromagnetischer Felder,Verbundprojekt 05K2022 - NOVALIS: Innovative Beschleunigertechnologien für effiziente Strahlungsquellen. Teilprojekt 4.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2022-10-01,2025-09-30,285981,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2022 - NOVALIS,PDIR,2022,True
4430,05K22VK3,Karlsruher Institut für Technologie (Universitätsaufgabe),Karlsruher Institut für Technologie (KIT) - Fakultät für Physik - Labor für Anwendungen von Synchrotronstrahlung (LAS),"Verbundprojekt 05K2022 - Compact-TDS: Kompaktes, transversal ablenkendes System für die Diagnose von ultrakurzen Elektronenpaketen. Teilprojekt 1: Experimente.",U03054,Erforschung kondensierter Materie - mit anderen Methoden,2022-10-01,2025-09-30,319599,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2022 - Compact-TDS,PDIR,2022,True
4432,05K22CB1,Helmholtz-Zentrum Berlin für Materialien und Energie Gesellschaft mit beschränkter Haftung,Helmholtz-Zentrum Berlin für Materialien und Energie Gesellschaft mit beschränkter Haftung,Verbundprojekt 05K2022 - NOVALIS: Innovative Beschleunigertechnologien für effiziente Strahlungsquellen. Teilprojekt 3.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2022-10-01,2025-09-30,337688,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2022 - NOVALIS,PDIR,2022,True
4433,05K22VKB,Karlsruher Institut für Technologie (Universitätsaufgabe),Karlsruher Institut für Technologie (KIT) - Fakultät für Physik - Labor für Anwendungen von Synchrotronstrahlung (LAS),"Verbundprojekt 05K2022 - EVEBUD: Einzelpuls-Strahldiagnose: Verschiebung der Grenzen im Hinblick auf Auflösung, Empfindlichkeit und Wiederholrate für die komplexe Strahldynamik an Elektronenbeschleunigern. Teilprojekt 1",U03054,Erforschung kondensierter Materie - mit anderen Methoden,2022-10-01,2025-09-30,407726,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2022 - EVEBUD,PDIR,2022,True
4436,05K22GUE,Universität Hamburg,"Universität Hamburg - Fakultät für Mathematik, Informatik und Naturwissenschaften - Fachbereich Physik - Institut für Experimentalphysik",Erzeugung von schmalbandiger kohärenter XUV-Strahlung mit MHz-Repetitionsrate mittels resonatorbasiertem Seeding,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2022-10-01,2025-09-30,679391,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,2022,True
4444,05K22CRB,Helmholtz-Zentrum Dresden - Rossendorf e. V.,Helmholtz-Zentrum Dresden - Rossendorf e. V. - Institut für Strahlenphysik,Verbundprojekt 05K2022 - MACLIP: Verbesserung der Leistung von Hochintensitätslaser-getriebenen Sekundärquellen durch den Einsatz von maschinellem Lernen. Teilprojekt 2.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2022-10-01,2025-09-30,223484,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2022 - MACLIP,PDIR,2022,True
4454,05K22WMC,Ludwig-Maximilians-Universität München,Ludwig-Maximilians-Universität München - Fakultät für Physik,Verbundprojekt 05K2022 - MACLIP: Verbesserung der Leistung von Hochintensitätslaser-getriebenen Sekundärquellen durch den Einsatz von maschinellem Lernen. Teilprojekt 3.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2022-10-01,2025-09-30,472389,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2022 - MACLIP,PDIR,2022,True
4464,05K22WMB,Ludwig-Maximilians-Universität München,Ludwig-Maximilians-Universität München - Fakultät für Physik,Verbundprojekt 05K2022 - FIMO: Femtosekunden-Bildgebung und Filme von dünnen Plasmen. Teilprojekt 2.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2022-10-01,2025-09-30,327417,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2022 - FIMO,PDIR,2022,True
4470,05K22HR1,Universität Rostock,Universität Rostock - Fakultät für Informatik und Elektrotechnik - Institut für Allgemeine Elektrotechnik,Verbundprojekt 05K2022 - WAKE: Wakefeld und Strahlimpedanz Studien für Undulator-Strukturen an BESSY II und dem EuXFEL. Teilprojekt 1.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2022-10-01,2026-02-28,272030,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2022 - WAKE,PDIR,2022,True
4472,05K22PXB,Bergische Universität Wuppertal,Bergische Universität Wuppertal - Fachbereich C - Mathematik und Naturwissenschaften - Fachgruppe Physik,"Verbundprojekt 05K2022 - NOVALIS: Innovative Beschleunigertechnologien für effiziente Strahlungsquellen. Teilprojekt 2: Optimierung von mehrlagigen Dünnschichtstrukturen für Anwendungen in zukünftigen, Beschleunigerbasierten Photonenquellen",U03054,Erforschung kondensierter Materie - mit anderen Methoden,2022-10-01,2025-09-30,208470,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2022 - NOVALIS,PDIR,2022,True
4478,05K22PE4,Technische Universität Dortmund,Technische Universität Dortmund - Fakultät Physik - Zentrum für Synchrotronstrahlung,"Verbundprojekt 05K2022 - EVEBUD: Einzelpuls-Strahldiagnose - Verschiebung der Grenzen im Hinblick auf Auflösung, Emfindlichkeit und Wiederholrate für die komplexe Strahldynamik an Elektronenbeschleunigern. Teilprojekt 2: Diagnose und Regelung der spektralen und zeitlichen Eigenschaften von Strahlungspulsen.",U03054,Erforschung kondensierter Materie - mit anderen Methoden,2022-10-01,2025-09-30,514430,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2022 - EVEBUD,PDIR,2022,True
4494,05K22OD3,Technische Universität Dresden,Technische Universität Dresden - Fakultät Mathematik und Naturwissenschaften - Fachrichtung Physik - Institut für Kern- und Teilchenphysik,Verbundprojekt 05K2022 - ELISEatIBC: ELISE@IBC (Extended Laser Isobar SEparator at IBC) - Implementierung der selektiven Filterung von Isobaren mittels Laser zur Erweiterung der Anwendbarkeit von Beschleuniger-Massenspektrometrie. Teilprojekt 2.,U03053,Erforschung kondensierter Materie - Teilchenstrahlen,2022-10-01,2025-09-30,432441,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2022 - ELISEatIBC,PDIR,2022,True
4495,05K22UM5,Johannes Gutenberg-Universität Mainz,"Johannes Gutenberg-Universität Mainz - FB 08 Physik, Mathematik und Informatik - Institut für Physik - AG Wendt / LARISSA",Verbundprojekt 05K2022 - ELISEatIBC: ELISE@IBC (Extended Laser Isobar SEparator at IBC) - Implementierung der selektiven Filterung von Isobaren mittels Laser zur Erweiterung der Anwendbarkeit von Beschleuniger-Massenspektrometrie. Teilprojekt 3.,U03053,Erforschung kondensierter Materie - Teilchenstrahlen,2023-01-01,2025-09-30,587699,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2022 - ELISEatIBC,PDIR,2023,True
